# version=2017
# observatory
! mpcCode W88
! name Slooh.com Chile Observatory, La Dehesa
# submitter
! name C. J. R. McEwing
# observers
! name C. J. R. McEwing
# measurers
! name C. J. R. McEwing
# telescope
! design Corrected Dall-Kirkham
! aperture 0.43
! fRatio 6.8
! detector CCD
# software
! astrometry Astrometrica 4.12.0.448
! photometry Astrometrica 4.12.0.448
permID |provID     |trkSub  |mode|stn |obsTime                |ra         |dec        |rmsRA|rmsDec|astCat  |mag  |rmsMag|band|photCat |photAp|logSNR|seeing|exp |rmsFit|nStars|notes|remarks
   7335|           |        | CCD|W88 |2022-03-10T07:37:03Z   |224.602728 |+10.023218 |0.128|0.139 |   UCAC4|18.98|0.107 |   V|   UCAC4| 5.7  |1.08  |2.9   | 500|0.15  |    83|K    |
   7335|           |        | CCD|W88 |2022-03-11T07:03:38Z   |224.878691 |+10.115431 |0.091|0.101 |   UCAC4|18.99|0.094 |   V|   UCAC4| 5.7  |1.14  |3.2   |1250|0.08  |    85|K    |
   7335|           |        | CCD|G40 |2022-03-12T05:47:35Z   |225.140433 |+10.203681 |0.128|0.122 |   UCAC4|18.45|0.101 |   V|   UCAC4| 9.5  |1.13  |3.5   | 450|0.10  |   154|K    |
   7335|           |        | CCD|W88 |2022-03-12T05:49:17Z   |225.143250 |+10.207106 |0.134|0.129 |   UCAC4|18.81|0.102 |   V|   UCAC4| 5.7  |1.12  |3.9   | 600|0.10  |    80|K    |
   7335|           |        | CCD|G40 |2022-03-13T06:02:46Z   |225.417170 |+10.303609 |0.136|0.138 |   UCAC4|18.60|0.102 |   V|   UCAC4| 9.5  |1.11  |3.3   | 600|0.12  |   158|K    |
   7335|           |        | CCD|W88 |2022-03-13T06:02:54Z   |225.419889 |+10.306975 |0.139|0.139 |   UCAC4|18.94|0.092 |   V|   UCAC4| 5.7  |1.14  |3.4   | 600|0.11  |    96|K    |
   7335|           |        | CCD|W88 |2022-03-14T05:50:19Z   |225.687451 |+10.407118 |0.114|0.109 |   UCAC4|19.17|0.120 |   V|   UCAC4| 5.7  |1.05  |3.3   | 650|0.11  |    94|K    |
   7335|           |        | CCD|W88 |2022-03-15T05:50:24Z   |225.953011 |+10.510741 |0.215|0.205 |   UCAC4|18.79|0.136 |   V|   UCAC4| 5.7  |0.99  |3.5   | 750|0.13  |    84|K    |
   7335|           |        | CCD|W88 |2022-03-16T07:06:54Z   |226.226479 |+10.621804 |0.156|0.115 |   UCAC4|18.75|0.103 |   V|   UCAC4| 5.7  |1.21  |2.6   |1200|0.17  |    84|K    |
   7335|           |        | CCD|W88 |2022-03-24T08:42:11Z   |228.147640 |+11.542938 |0.107|0.108 |   Gaia2|18.31|0.102 |   G|   Gaia2| 9.6  |1.26  |4.8   |1200|0.06  |   111|K    |
   7335|           |        | CCD|W88 |2022-03-27T05:12:47Z   |228.745521 |+11.893485 |0.098|0.096 |   Gaia2|17.88|0.103 |   G|   Gaia2| 9.6  |1.34  |3.5   | 700|0.08  |   102|K    |
